"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-17","0.11","0.0","0.0","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-18","0.00","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-19","0.00","0.0","0.0","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-20","0.87","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-21","0.06","0.0","0.0","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-22","0.19","0.0","0.0","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-23","0.00","0.0","0.0","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-24","0.00","0.0","0.0","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-25","0.00","0.0","0.0","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-26","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-27","0.00","0.0","0.0","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-28","0.00","0.0","0.0","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-29","0.00","0.0","0.0","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-30","0.00","0.0","0.0","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-01","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-02","0.00","0.0","0.0","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-03","0.00","0.0","0.0","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-04","0.00","0.0","0.0","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-05","0.00","0.0","0.0","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-06","0.00","0.0","0.0","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-07","0.00","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-08","0.00","0.0","0.0","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-09","0.02","0.0","0.0","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-10","0.00","0.0","0.0","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-11","0.00","0.0","0.0","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-12","0.01","0.0","0.0","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-13","0.00","0.0","0.0","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-14","0.00","0.0","0.0","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-15","0.00","0.0","0.0","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-16","0.41","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-17","0.00","0.0","0.0","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-18","0.00","0.0","0.0","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-19","0.00","0.0","0.0","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-20","0.00","0.0","0.0","63"
